bar_id,guest_count_count,guest_count_mean,guest_count_std,guest_count_min,guest_count_25%,guest_count_50%,guest_count_75%,guest_count_max
1168,2213.0,1.5707184816990512,1.357482538229385,0.0,1.0,1.0,2.0,14.0
19531,1092.0,1.4706959706959708,1.191961416100493,1.0,1.0,1.0,2.0,16.0
2607,474.0,1.8628691983122363,1.4142782154880302,0.0,1.0,2.0,2.0,10.0
3539,1251.0,1.4396482813749,0.7757285325389572,1.0,1.0,1.0,2.0,13.0
12392,829.0,1.8745476477683956,1.4591676517630132,1.0,1.0,1.0,2.0,13.0
7194,1181.0,1.7933954276037256,1.289983735390604,0.0,1.0,2.0,2.0,8.0
1150,571.0,1.3677758318739055,0.6789660293112878,1.0,1.0,1.0,2.0,5.0
7280,1097.0,2.104831358249772,1.494193259921174,0.0,1.0,2.0,2.0,24.0
19146,338.0,1.4763313609467457,0.8686950048986283,1.0,1.0,1.0,2.0,6.0
12705,1217.0,1.3155299917830732,1.048509469608156,0.0,1.0,1.0,2.0,8.0
1275,1843.0,1.4921323928377646,1.411261500444317,0.0,1.0,1.0,2.0,19.0
17996,783.0,1.4546615581098339,1.2724407569469665,0.0,1.0,1.0,2.0,8.0
1544,739.0,1.5899864682002707,0.9841328566262987,1.0,1.0,1.0,2.0,13.0
2285,506.0,1.4426877470355732,0.8142760189139063,1.0,1.0,1.0,2.0,9.0
7097,448.0,1.5558035714285714,1.3843200793656312,0.0,1.0,1.0,2.0,12.0
432,1375.0,1.546909090909091,1.1033640381164809,1.0,1.0,1.0,2.0,10.0
11249,639.0,1.5649452269170578,1.3431906366323807,0.0,1.0,1.0,2.0,10.0
12567,778.0,1.2956298200514138,1.1103845504690846,0.0,1.0,1.0,2.0,9.0
12634,2097.0,1.6590367191225561,1.4365079142412618,0.0,1.0,1.0,2.0,40.0
4683,1159.0,2.0448662640207074,1.4437247195585297,0.0,1.0,2.0,3.0,14.0
3474,550.0,1.690909090909091,1.1026169776358228,1.0,1.0,1.0,2.0,10.0
4679,920.0,1.9717391304347827,1.2849108467107322,0.0,1.0,2.0,2.0,11.0
5022,870.0,1.7850574712643679,0.9998882257017208,1.0,1.0,2.0,2.0,9.0
1532,691.0,1.460202604920405,0.8161908447928335,1.0,1.0,1.0,2.0,7.0
16704,1091.0,1.4518790100824932,1.2606331771639039,0.0,1.0,1.0,2.0,12.0
2034,598.0,1.411371237458194,0.83154180180527,1.0,1.0,1.0,2.0,9.0
11654,1931.0,1.583117555670637,1.0891384702676823,1.0,1.0,1.0,2.0,25.0
2318,2334.0,1.75706940874036,1.3750670567377472,0.0,1.0,1.0,2.0,24.0
2388,921.0,1.6699239956568948,1.332559197918123,1.0,1.0,1.0,2.0,14.0
