order_id,guest_count,occasion
519477313,48,DINNER
511415825,58,UNKNOWN
514736044,1,NOT_1
521100233,26,DINNER
512851855,22,DINNER
516620908,4,FAMILY_EVENT
525661498,19,DINNER
525538553,19,DINNER
525661404,18,DRINKING-PARTY
514341177,37,FAMILY_EVENT
512851857,33,DINNER
520933416,23,DINNER
513698984,6,DRINKING
512856939,8,DRINKING
521047014,21,DINNER
520007058,15,SOCIAL-GATHERING
524841361,27,FAMILY_EVENT
525539968,19,UNKNOWN
511391352,17,SOCIAL-GATHERING
521766635,16,UNKNOWN
524539140,1,NOT_1
513316058,23,LUNCH
512856660,9,DRINKING
520118612,11,FAMILY_EVENT
525660987,13,DRINKING-PARTY
520253910,15,DINNER
513691508,29,DRINKING-PARTY
521104065,1,NOT_1
519363612,35,LUNCH
512676289,17,FAMILY_EVENT
513687636,14,DINNER
516514958,18,FAMILY_EVENT
520130508,19,DINNER
511500046,12,DRINKING-PARTY
512720396,21,DINNER
514552247,38,FAMILY_EVENT
519024056,16,DINNER
523738111,1,NOT_1
513684961,12,DINNER
521091517,8,DRINKING
513540166,12,DINNER
512743015,15,FAMILY_EVENT
521090544,12,AFTER-WORK
521903205,12,AFTER-WORK
511467073,17,FAMILY_EVENT
521853083,1,NOT_1
521911005,13,DRINKING-PARTY
519509285,14,AFTER-WORK
513545151,13,DRINKING-PARTY
521090669,11,DINNER
513682836,11,LUNCH
525550302,15,AFTER-WORK
514513067,15,FAMILY_EVENT
512851856,14,DINNER
512664371,7,DRINKING
512704298,4,DINNER
521715659,1,NOT_1
513687642,11,DRINKING-PARTY
521733432,18,DRINKING-PARTY
522774703,13,DRINKING-PARTY
511262623,11,LUNCH
522790445,14,FAMILY_EVENT
513690152,4,UNKNOWN
525549908,13,DINNER
524558448,13,FAMILY_EVENT
521903691,10,DINNER
514734688,14,DINNER
525549252,16,DINNER
513558466,4,UNKNOWN
514734692,21,UNKNOWN
525414129,15,LUNCH
511254032,12,LUNCH
511390666,6,DINNER
514690100,24,UNKNOWN
519511437,13,DINNER
511390965,15,FAMILY_EVENT
521765889,10,DRINKING
513327024,11,LUNCH
520792361,15,LUNCH
520217341,9,DINNER
512852771,17,FAMILY_EVENT
523745590,14,DINNER
513710415,13,FAMILY_EVENT
522778659,1,NOT_1
513682972,1,NOT_1
520259744,10,DINNER
520144268,13,DRINKING-PARTY
525018583,5,DINNER
512854194,5,DRINKING
521099180,11,DINNER
514774639,11,UNKNOWN
511244214,19,FAMILY_EVENT
512689630,17,DINNER
519528726,11,DINNER
520945460,3,DINNER
519024072,17,DRINKING-PARTY
514512013,11,FAMILY_EVENT
522778661,6,DINNER
521095118,4,DRINKING
525135274,9,DINNER
511376604,9,DINNER
520104725,9,DRINKING
514585568,9,DINNER
512569659,12,LUNCH
523713184,6,DRINKING
520933307,4,DINNER
513314439,12,LUNCH
524390934,14,FAMILY_EVENT
512865855,18,DINNER
513466492,1,NOT_1
512851193,12,DINNER
511505538,13,DRINKING-PARTY
519022853,1,NOT_1
525540305,11,DINNER
514585567,10,DINNER
523541320,18,DINNER
525412001,18,FAMILY_EVENT
516726552,14,FAMILY_EVENT
511505738,20,UNKNOWN
512850913,4,DINNER
522785522,1,NOT_1
512848784,11,DRINKING-PARTY
520171377,9,DINNER
521090543,5,DINNER
524230146,17,FAMILY_EVENT
521100257,6,DRINKING
524555102,8,DRINKING
519622260,4,DINNER
525138986,3,DINNER
523540412,20,FAMILY_EVENT
521590056,3,LUNCH
520251211,1,NOT_1
513503883,12,DRINKING-PARTY
525404756,16,LUNCH
519620891,1,NOT_1
511389561,10,DINNER
515369553,22,FAMILY_EVENT
511505262,16,DINNER
522585317,10,FAMILY_EVENT
520930329,2,DRINKING
512852147,7,FAMILY_EVENT
512864606,12,LUNCH
519511441,11,FAMILY_EVENT
522398603,26,FAMILY_EVENT
517662800,11,FAMILY_EVENT
521785457,18,DINNER
519522506,13,DINNER
513504737,10,FAMILY_EVENT
516626835,23,FAMILY_EVENT
514743002,12,DINNER
524230736,14,LUNCH
513620818,9,DINNER
520791553,10,LUNCH
515810166,20,LUNCH
519058071,2,DRINKING
514515021,9,FAMILY_EVENT
523494718,13,FAMILY_EVENT
513504825,10,DINNER
516189070,20,LUNCH
525663469,5,DINNER
513558528,3,AFTER_WORK
512863204,13,LUNCH
521919606,10,DINNER
522599713,11,FAMILY_EVENT
513617067,9,DINNER
514515717,7,FAMILY_EVENT
525663624,3,DINNER
513553077,4,FAMILY_EVENT
519017014,18,LUNCH
512858831,5,DINNER
523569163,11,DINNER
511390669,10,DINNER
521922518,1,NOT_1
514341351,11,FAMILY_EVENT
514745913,2,DRINKING
521765694,8,DINNER
517730914,12,FAMILY_EVENT
514316769,5,LUNCH
514690831,11,DINNER
521096724,7,DINNER
524211723,18,LUNCH
525551458,2,NOT_2
514491848,7,DRINKING
521906578,9,DINNER
521920649,6,DRINKING
514316747,19,FAMILY_EVENT
513555850,7,DINNER
511377861,10,DINNER
512854240,1,NOT_1
521920644,7,DRINKING
512855740,5,LUNCH
523557594,6,DINNER
520950002,8,DINNER
521095160,10,DRINKING
512569656,9,LUNCH
512858830,5,DINNER
513568857,2,DRINKING
522785185,1,NOT_1
513541625,8,DINNER
512562305,12,LUNCH
519058750,1,NOT_1
521588450,8,LUNCH
512852382,2,DRINKING
520889800,2,JUST_EATING
512740622,3,FAMILY_EVENT
522556542,10,FAMILY_EVENT
520791476,13,LUNCH
524841375,11,FAMILY_EVENT
518181175,11,FAMILY_EVENT
522635336,1,NOT_1
512569876,1,NOT_1
522402934,10,FAMILY_EVENT
519527796,13,DINNER
519024048,6,DINNER
512856513,4,AFTER_WORK
525662490,1,NOT_1
520967955,7,DINNER
521094229,1,NOT_1
525662659,6,DRINKING
525563172,2,DRINKING
519021838,3,DRINKING
515957584,16,FAMILY_EVENT
525027569,9,DINNER
518155749,8,DINNER
525661402,14,AFTER-WORK
513502814,9,DINNER
512704302,12,DINNER
512855913,1,NOT_1
522629730,8,FAMILY_EVENT
524852930,7,LUNCH
522777189,1,NOT_1
521911713,5,SOCIAL_GATHERING
513620819,5,DINNER
514316748,12,FAMILY_EVENT
512743011,10,DINNER
512854182,5,DINNER
519079728,2,DRINKING
522402012,1,NOT_1
520791408,16,SOCIAL-GATHERING
511503979,5,DRINKING
517729289,14,FAMILY_EVENT
520802585,8,LUNCH
514576763,27,FAMILY_EVENT
524222251,11,FAMILY_EVENT
514746386,1,NOT_1
512866143,11,DRINKING-PARTY
514576079,6,DINNER
512748567,2,NOT_2
512743988,8,FAMILY_EVENT
511243844,10,LUNCH
512856357,3,SOCIAL_GATHERING
511389542,9,FAMILY_EVENT
525623194,8,DRINKING
513500395,7,FAMILY_EVENT
525550392,11,DINNER
521943786,5,DRINKING
522402449,7,LUNCH
513545356,10,DINNER
514734843,5,DRINKING
522777917,10,FAMILY_EVENT
521923574,2,DRINKING
524420599,8,FAMILY_EVENT
513326948,10,LUNCH
519510345,10,DINNER
511391273,10,DINNER
519622547,5,DINNER
513442118,4,AFTER_WORK
520960834,10,DINNER
525140081,1,NOT_1
519622638,2,DRINKING
523552807,11,FAMILY_EVENT
523523532,7,FAMILY_EVENT
513698517,1,NOT_1
522601039,10,FAMILY_EVENT
511390466,4,AFTER_WORK
518519646,8,DINNER
521804872,5,DINNER
522598848,7,FAMILY_EVENT
523722730,1,NOT_1
525049647,9,DINNER
525659155,1,NOT_1
524539573,2,DRINKING
519577692,8,DINNER
512570889,9,LUNCH
525134512,12,FAMILY_EVENT
522398598,20,FAMILY_EVENT
525040068,8,DRINKING
521804856,14,DINNER
520811831,8,LUNCH
512743016,7,DINNER
513316480,9,LUNCH
523525615,17,FAMILY_EVENT
524404543,5,DINNER
522601377,9,FAMILY_EVENT
513720349,7,DRINKING
525660635,2,DRINKING
513316063,7,DRINKING
521609938,5,SOCIAL_GATHERING
522792762,1,NOT_1
511365111,3,AFTER_WORK
512852468,8,DRINKING
524431638,7,FAMILY_EVENT
525663990,2,DRINKING
524386869,14,LUNCH
514754099,5,FAMILY_EVENT
512852530,5,DINNER
522777698,3,DINNER
521920576,2,DRINKING
523328334,11,FAMILY_EVENT
514534188,7,DINNER
525541132,1,NOT_1
511392791,18,DINNER
514746515,1,NOT_1
521935098,8,DRINKING
511390850,2,DRINKING
514550566,11,FAMILY_EVENT
524212820,4,LUNCH
511244189,12,LUNCH
520129348,10,FAMILY_EVENT
525528380,6,DRINKING
522629733,5,DINNER
522786984,3,AFTER_WORK
522787245,6,DRINKING
521853883,12,DINNER
523553245,9,FAMILY_EVENT
521096723,2,DRINKING
520962189,7,FAMILY_EVENT
524213237,9,FAMILY_EVENT
521921477,9,DINNER
513699187,2,DRINKING
520951080,7,DINNER
521047011,8,DINNER
513690401,5,SOCIAL_GATHERING
513618402,10,FAMILY_EVENT
522778513,4,DINNER
515746411,10,FAMILY_EVENT
520961529,10,FAMILY_EVENT
522598849,6,FAMILY_EVENT
525066304,8,FAMILY_EVENT
522786166,4,SOCIAL_GATHERING
512718931,7,DINNER
525048426,1,NOT_1
524420899,6,DINNER
525659494,9,DRINKING
522636119,6,FAMILY_EVENT
515684833,10,FAMILY_EVENT
511352485,5,DINNER
519527829,7,DINNER
524222397,15,LUNCH
520963432,10,DINNER
525140224,1,NOT_1
525509774,7,UNKNOWN
516514957,7,LUNCH
524459282,5,DINNER
521100281,5,DINNER
513542638,6,DINNER
512549817,9,LUNCH
513502145,9,FAMILY_EVENT
523583923,10,FAMILY_EVENT
511391361,5,DINNER
523716945,4,SOCIAL_GATHERING
522696367,6,DRINKING
512719244,8,DINNER
524501410,1,NOT_1
523722790,4,DRINKING
523582800,12,FAMILY_EVENT
511353713,11,UNKNOWN
517955774,16,DINNER
513646870,3,DINNER
514494395,1,NOT_1
525550391,8,DINNER
522696741,12,SOCIAL-GATHERING
523722144,8,FAMILY_EVENT
525139716,1,NOT_1
521103448,1,NOT_1
521766927,13,FAMILY_EVENT
513424455,6,DRINKING
523738509,7,UNKNOWN
519015149,6,FAMILY_EVENT
521100343,6,DRINKING
517844238,8,DINNER
524542006,2,DRINKING
513426428,3,SOCIAL_GATHERING
514472538,8,FAMILY_EVENT
519621805,1,NOT_1
523716494,5,DINNER
525622649,10,DINNER
520962809,9,FAMILY_EVENT
522402929,23,FAMILY_EVENT
514556246,8,FAMILY_EVENT
511377867,11,FAMILY_EVENT
519622564,4,DINNER
523739703,3,SOCIAL_GATHERING
514304667,13,FAMILY_EVENT
524442417,6,DRINKING
513690880,4,SOCIAL_GATHERING
525668596,6,DINNER
511505739,6,DINNER
511253646,13,LUNCH
512745341,3,DINNER
525661265,6,DINNER
520016722,7,LUNCH
525406210,14,LUNCH
524230149,8,FAMILY_EVENT
525047405,6,DINNER
522588901,20,FAMILY_EVENT
525661276,3,SOCIAL_GATHERING
517988581,8,FAMILY_EVENT
519530411,5,SOCIAL_GATHERING
521091516,4,DINNER
514736683,3,SOCIAL_GATHERING
521909673,7,DRINKING
512863915,4,DINNER
513698995,1,NOT_1
524390640,11,LUNCH
512855505,4,DINNER
513442629,6,DINNER
519622095,5,DRINKING
522774533,6,DRINKING
523495019,8,FAMILY_EVENT
520253592,4,AFTER_WORK
525572904,6,DINNER
519510586,7,DINNER
517955634,4,DINNER
520017785,14,LUNCH
524386861,12,FAMILY_EVENT
521766924,19,DINNER
512863265,1,NOT_1
521796427,8,SOCIAL-GATHERING
525406142,2,NOT_2
520256740,5,DRINKING
521852857,4,SOCIAL_GATHERING
519080828,1,NOT_1
525661304,1,NOT_1
523318758,8,LUNCH
522779177,6,DRINKING
523537870,9,FAMILY_EVENT
520257051,4,AFTER_WORK
521048957,3,DINNER
521732572,9,DINNER
525046613,13,DINNER
514553064,10,DINNER
522338692,24,FAMILY_EVENT
514656827,9,DINNER
524221650,2,DRINKING
525577197,1,NOT_1
513483826,9,FAMILY_EVENT
514769367,13,DINNER
523552803,6,FAMILY_EVENT
514692296,5,DINNER
524555246,3,DRINKING
