order_id,guest_count,occasion
363794176,52,DINNER
362364180,180,DRINKING-PARTY
363863584,22,DRINKING-PARTY
359512872,9,DINNER
359640463,35,LUNCH
362187204,8,DRINKING
361494547,35,FAMILY_EVENT
362277974,8,DINNER
361165477,3,DINNER
362362607,16,FAMILY_EVENT
363233545,15,LUNCH
361492858,5,DINNER
362367730,78,UNKNOWN
363368172,24,FAMILY_EVENT
361885586,10,DRINKING
359644516,1,NOT_1
359116017,25,FAMILY_EVENT
359118661,30,FAMILY_EVENT
361501202,2,NOT_2
361021879,9,DRINKING
363284454,21,FAMILY_EVENT
361492160,1,NOT_1
359963446,24,FAMILY_EVENT
360383246,14,FAMILY_EVENT
360020930,16,FAMILY_EVENT
361276619,11,LUNCH
358897193,32,FAMILY_EVENT
363049023,23,FAMILY_EVENT
361418929,9,DRINKING
360933054,15,FAMILY_EVENT
361343848,16,FAMILY_EVENT
359643858,1,NOT_1
361787058,13,FAMILY_EVENT
360139128,1,NOT_1
361276463,25,FAMILY_EVENT
361481967,22,FAMILY_EVENT
360053268,22,FAMILY_EVENT
361864048,2,DRINKING
363043002,1,NOT_1
361482969,21,FAMILY_EVENT
361753989,14,FAMILY_EVENT
362692679,13,FAMILY_EVENT
359057962,14,DINNER
360244390,8,DRINKING
360053270,14,FAMILY_EVENT
362738873,9,DINNER
359120931,1,NOT_1
360932795,8,DINNER
363332258,10,DINNER
363430448,2,DRINKING
361739779,15,FAMILY_EVENT
362744246,4,SOCIAL_GATHERING
361303354,17,FAMILY_EVENT
362739014,10,FAMILY_EVENT
359169552,2,DRINKING
361017064,8,DINNER
362661203,11,FAMILY_EVENT
362645315,6,FAMILY_EVENT
360402617,3,DINNER
362744398,6,DRINKING
361863128,4,DINNER
359062032,16,DINNER
363422952,2,NOT_2
358980060,11,FAMILY_EVENT
363368427,12,FAMILY_EVENT
361863811,13,FAMILY_EVENT
360471560,13,FAMILY_EVENT
359643867,1,NOT_1
362736307,9,FAMILY_EVENT
359465573,11,FAMILY_EVENT
363049714,1,NOT_1
361814918,10,FAMILY_EVENT
363632373,14,LUNCH
363443253,9,DRINKING
362310481,10,DINNER
363419966,12,DINNER
359116009,9,FAMILY_EVENT
363873643,8,FAMILY_EVENT
362231761,7,DINNER
362940887,11,FAMILY_EVENT
362596990,20,FAMILY_EVENT
363320637,12,DINNER
362361633,19,FAMILY_EVENT
363044042,1,NOT_1
362751852,10,FAMILY_EVENT
361865023,5,SOCIAL_GATHERING
363679655,4,AFTER_WORK
363869674,1,NOT_1
363862534,13,LUNCH
360361412,11,FAMILY_EVENT
361253686,21,BREAKFAST
362185241,6,DINNER
362346476,7,DRINKING
362742441,7,DRINKING
360545133,1,NOT_1
361026999,4,SOCIAL_GATHERING
361493395,1,NOT_1
359123289,18,DINNER
362636322,8,FAMILY_EVENT
360546840,5,LUNCH
359123416,1,NOT_1
363863593,8,DINNER
361493394,1,NOT_1
361863115,5,SOCIAL_GATHERING
361165448,40,DRINKING-PARTY
360532447,5,SOCIAL_GATHERING
359449805,7,FAMILY_EVENT
360532281,1,NOT_1
364374026,8,DRINKING
360543059,6,DRINKING
360141903,9,FAMILY_EVENT
360141900,7,UNKNOWN
362635746,25,FAMILY_EVENT
362737572,39,DRINKING-PARTY
363754590,8,DINNER
361489529,10,FAMILY_EVENT
360894051,10,FAMILY_EVENT
362093998,24,FAMILY_EVENT
362347016,4,AFTER_WORK
363233549,12,LUNCH
358932751,18,FAMILY_EVENT
361724492,9,FAMILY_EVENT
359026601,11,FAMILY_EVENT
361490449,1,NOT_1
359451675,9,LUNCH
361329275,12,DINNER
361487065,13,FAMILY_EVENT
360055165,7,DRINKING
362211342,13,FAMILY_EVENT
362280200,10,FAMILY_EVENT
359465136,11,FAMILY_EVENT
363297618,8,FAMILY_EVENT
361888420,3,DINNER
361839215,6,DRINKING
360818278,12,FAMILY_EVENT
359418221,13,DRINKING-PARTY
359170127,1,NOT_1
362742122,1,NOT_1
359001605,12,FAMILY_EVENT
363037971,37,DRINKING-PARTY
361486118,3,SOCIAL_GATHERING
361696117,21,FAMILY_EVENT
363869861,5,SOCIAL_GATHERING
362644729,15,DINNER
361735339,8,FAMILY_EVENT
361865172,5,SOCIAL_GATHERING
360902443,8,DINNER
362617232,9,FAMILY_EVENT
361703802,13,LUNCH
362646263,6,DINNER
363297602,8,DINNER
362745396,1,NOT_1
362187233,21,DRINKING-PARTY
363049582,12,DINNER
363629966,16,FAMILY_EVENT
360542784,10,DINNER
361489326,1,NOT_1
360345167,13,FAMILY_EVENT
361024981,1,NOT_1
361740081,11,FAMILY_EVENT
360782002,18,LUNCH
362197624,11,FAMILY_EVENT
360383301,11,DINNER
360932658,10,DINNER
363792637,6,DINNER
361706657,18,FAMILY_EVENT
359473261,10,DINNER
361683844,6,LUNCH
360358247,11,FAMILY_EVENT
360088463,8,FAMILY_EVENT
362344709,10,DINNER
360139118,2,DRINKING
359025338,17,DINNER
361328626,8,FAMILY_EVENT
362738857,2,FANCY_DATE
363827419,5,SOCIAL_GATHERING
360139220,4,DINNER
363332274,1,NOT_1
359550950,7,DRINKING
362916046,9,FAMILY_EVENT
360361791,5,LUNCH
361017551,11,FAMILY_EVENT
359117174,8,DINNER
363147924,6,DRINKING
362375770,9,FAMILY_EVENT
359120875,1,NOT_1
363269862,12,DINNER
359641945,1,NOT_1
363874041,3,DINNER
362347775,18,DRINKING-PARTY
362373676,5,FAMILY_EVENT
360428805,13,FAMILY_EVENT
362897224,7,LUNCH
361753985,10,FAMILY_EVENT
361490769,3,DINNER
359420114,9,LUNCH
361350509,11,FAMILY_EVENT
361891473,7,FAMILY_EVENT
362925575,7,DINNER
360182051,1,NOT_1
361027042,5,DINNER
363709794,1,NOT_1
362365507,6,DRINKING
359170218,10,DRINKING
362200673,9,DINNER
361885595,12,DINNER
362880119,17,LUNCH
362211731,11,FAMILY_EVENT
361923641,4,SOCIAL_GATHERING
362363731,14,FAMILY_EVENT
359126027,9,FAMILY_EVENT
361267474,10,LUNCH
359420337,10,LUNCH
361492132,6,DRINKING
360028015,6,DINNER
358933137,11,FAMILY_EVENT
360358363,7,FAMILY_EVENT
362213503,9,FAMILY_EVENT
363043906,5,DINNER
360087689,10,FAMILY_EVENT
361692732,17,LUNCH
360138892,11,FAMILY_EVENT
361411873,8,FAMILY_EVENT
362996244,5,DINNER
362365438,4,DINNER
363883831,4,SOCIAL_GATHERING
360501685,5,DINNER
363871197,5,DINNER
362738874,2,FANCY_DATE
362226012,8,DINNER
360861385,11,FAMILY_EVENT
363742644,16,FAMILY_EVENT
360403926,10,FAMILY_EVENT
361303875,9,FAMILY_EVENT
360532446,1,NOT_1
362880006,5,FAMILY_EVENT
359998637,10,FAMILY_EVENT
361881307,3,SOCIAL_GATHERING
360084178,8,FAMILY_EVENT
361300014,4,SOCIAL_GATHERING
361378022,9,FAMILY_EVENT
362691868,8,DINNER
362742577,2,DRINKING
361812866,7,DINNER
361489489,1,NOT_1
362157562,2,DRINKING
361891631,5,SOCIAL_GATHERING
360844878,9,FAMILY_EVENT
362958950,10,FAMILY_EVENT
361812797,7,FAMILY_EVENT
359644354,1,NOT_1
360135403,7,DINNER
363041239,8,FAMILY_EVENT
361739851,10,DINNER
361891727,3,DINNER
360054388,9,FAMILY_EVENT
362738875,1,NOT_1
362306338,6,DRINKING
361016144,6,DINNER
361676304,1,NOT_1
359638485,10,DRINKING
360546105,3,SOCIAL_GATHERING
362742043,3,AFTER_WORK
361021877,7,LUNCH
362644403,16,FAMILY_EVENT
361723181,13,FAMILY_EVENT
363897028,4,SOCIAL_GATHERING
360546297,1,NOT_1
362644402,12,FAMILY_EVENT
360384087,1,NOT_1
361165496,6,DRINKING
359465001,12,FAMILY_EVENT
361879978,1,NOT_1
362235112,10,DINNER
362644286,4,DINNER
364380903,1,NOT_1
362375890,2,DRINKING
360383297,9,FAMILY_EVENT
361867963,1,NOT_1
363043652,1,NOT_1
360369756,18,UNKNOWN
362742049,30,UNKNOWN
360543315,1,NOT_1
359456383,9,FAMILY_EVENT
362373677,9,FAMILY_EVENT
358924766,11,LUNCH
359418220,3,SOCIAL_GATHERING
362375808,8,FAMILY_EVENT
362738048,2,DRINKING
361865266,2,DRINKING
363870071,1,NOT_1
360885273,10,FAMILY_EVENT
360681397,32,UNKNOWN
358980544,2,DRINKING
362957633,7,DINNER
363871415,1,NOT_1
359119571,9,DINNER
361016183,3,DINNER
359638233,6,DINNER
361375375,5,DINNER
361025054,1,NOT_1
363690967,23,FAMILY_EVENT
360025752,6,DINNER
362996702,9,DINNER
360182275,6,UNKNOWN
360556146,1,NOT_1
359465144,9,DINNER
361866107,4,SOCIAL_GATHERING
361812857,6,DINNER
359638114,1,NOT_1
363677442,8,FAMILY_EVENT
363366445,11,DINNER
360137549,7,FAMILY_EVENT
363866880,7,FAMILY_EVENT
360050970,10,DINNER
360440548,8,FAMILY_EVENT
360896483,9,FAMILY_EVENT
359032565,9,DINNER
358934691,11,LUNCH
359647586,6,DRINKING
360383306,8,FAMILY_EVENT
362310480,7,FAMILY_EVENT
363870059,4,AFTER_WORK
359427548,14,LUNCH
363866946,10,DINNER
360182293,4,UNKNOWN
359471222,9,DINNER
361838298,11,DINNER
362346304,4,SOCIAL_GATHERING
362347388,2,DRINKING
360896486,7,DINNER
362231323,10,DINNER
362233563,10,FAMILY_EVENT
359465130,8,FAMILY_EVENT
361894817,2,DRINKING
361317873,4,DRINKING
363430247,3,AFTER_WORK
360135399,6,DINNER
361412425,6,FAMILY_EVENT
363745151,4,DINNER
363332276,1,NOT_1
361452867,6,DINNER
361269281,13,FAMILY_EVENT
360933021,8,FAMILY_EVENT
358921661,8,FAMILY_EVENT
360020916,6,DINNER
361007127,1,NOT_1
359473014,9,AFTER-WORK
361343862,5,DINNER
363432929,8,DINNER
360113149,9,DINNER
361685124,1,NOT_1
362879980,12,LUNCH
360595371,1,NOT_1
360045350,8,FAMILY_EVENT
361350565,8,FAMILY_EVENT
361492862,4,DINNER
361451582,7,FAMILY_EVENT
360901570,11,DINNER
359566285,9,DRINKING
363285211,10,FAMILY_EVENT
362738053,6,DINNER
363870580,6,DRINKING
363748189,9,FAMILY_EVENT
363283811,6,DINNER
359001604,8,FAMILY_EVENT
359670356,6,DRINKING
359062523,6,DINNER
359451687,8,FAMILY_EVENT
360021549,11,FAMILY_EVENT
360861327,9,FAMILY_EVENT
361370691,9,DINNER
360024850,5,FAMILY_EVENT
362737569,28,DRINKING-PARTY
359638974,3,DINNER
362367024,1,NOT_1
360896340,6,DINNER
361329284,5,FAMILY_EVENT
358960146,7,FAMILY_EVENT
358819207,5,DRINKING
362645364,8,FAMILY_EVENT
363828091,7,DINNER
361349593,8,DINNER
361449732,12,DINNER
359457321,8,FAMILY_EVENT
363057409,3,SOCIAL_GATHERING
362282192,8,FAMILY_EVENT
363299561,1,NOT_1
359989937,7,FAMILY_EVENT
359638812,6,LUNCH
362644453,8,DINNER
363424392,6,DINNER
358971566,9,DINNER
362379069,6,DINNER
361880703,11,FAMILY_EVENT
361894772,2,DRINKING
361769939,3,DINNER
359644331,5,SOCIAL_GATHERING
360499985,9,FAMILY_EVENT
358922420,6,FAMILY_EVENT
359465128,8,DINNER
362646266,5,DINNER
358999362,6,FAMILY_EVENT
360791113,9,FAMILY_EVENT
363285218,9,FAMILY_EVENT
363790399,2,DRINKING
359971141,10,FAMILY_EVENT
361753578,7,DINNER
360800083,13,FAMILY_EVENT
359063168,6,DINNER
361487786,27,DRINKING-PARTY
359643542,5,SOCIAL_GATHERING
363631015,9,LUNCH
360547279,7,UNKNOWN
359122338,2,DRINKING
361865175,4,DINNER
361772541,5,FAMILY_EVENT
360423278,8,FAMILY_EVENT
360828637,5,AFTER_WORK
362362609,8,DINNER
359512238,6,DINNER
364375821,2,DRINKING
360827411,2,DRINKING
360084172,4,DINNER
361770386,12,DINNER
361587539,10,DRINKING
361330295,6,DINNER
359125883,1,NOT_1
361684311,1,NOT_1
360432858,6,FAMILY_EVENT
359455634,15,FAMILY_EVENT
358995661,9,FAMILY_EVENT
361343871,5,DINNER
360902444,6,FAMILY_EVENT
360546837,2,DRINKING
361815156,4,DRINKING
363430248,4,AFTER_WORK
358932834,19,FAMILY_EVENT
362879655,6,FAMILY_EVENT
362380494,4,DINNER
361350643,9,FAMILY_EVENT
361771669,7,DINNER
359062173,12,DINNER
360547185,2,DRINKING
362940726,1,NOT_1
360885271,4,FAMILY_EVENT
362361832,8,FAMILY_EVENT
360428650,7,FAMILY_EVENT
360139712,9,FAMILY_EVENT
359463446,8,FAMILY_EVENT
362212135,6,DINNER
362233585,6,DINNER
362638248,8,FAMILY_EVENT
361772529,9,FAMILY_EVENT
360432601,4,SOCIAL_GATHERING
361813622,6,FAMILY_EVENT
362375896,3,DINNER
361739795,5,FAMILY_EVENT
358978456,4,DINNER
359136000,2,DRINKING
360972089,8,FAMILY_EVENT
362211623,6,DINNER
363057364,1,NOT_1
363717576,7,FAMILY_EVENT
360112069,8,FAMILY_EVENT
361487690,6,DRINKING
362744410,4,UNKNOWN
361773222,7,FAMILY_EVENT
360932960,7,FAMILY_EVENT
360427812,8,DINNER
363285404,3,FAMILY_EVENT
359062028,5,DINNER
362364171,17,FAMILY_EVENT
363874071,1,NOT_1
363319175,8,FAMILY_EVENT
363259971,7,FAMILY_EVENT
360902440,7,DINNER
363692569,2,DRINKING
361018013,1,NOT_1
359116810,4,LUNCH
361450340,7,FAMILY_EVENT
360136530,6,DINNER
362939791,9,DINNER
361887422,5,SOCIAL_GATHERING
361814240,9,DINNER
363862113,1,NOT_1
362628198,9,FAMILY_EVENT
360499184,8,DINNER
360547237,10,DINNER
361693037,6,FAMILY_EVENT
362306484,7,DINNER
360934509,8,UNKNOWN
361489118,2,DRINKING
361383418,9,DINNER
361863809,3,DINNER
361509121,6,DINNER
361777081,7,DINNER
361520308,5,DRINKING
361499746,5,DINNER
362347602,5,DINNER
362924337,5,FAMILY_EVENT
362879693,7,LUNCH
358970227,7,FAMILY_EVENT
361521324,14,SOCIAL-GATHERING
363017020,8,FAMILY_EVENT
359079691,6,FAMILY_EVENT
362310191,5,SOCIAL_GATHERING
363633055,9,LUNCH
359012835,5,FAMILY_EVENT
360026480,6,FAMILY_EVENT
361378019,7,FAMILY_EVENT
362746581,1,NOT_1
358960030,8,FAMILY_EVENT
360428671,8,FAMILY_EVENT
363423097,5,AFTER_WORK
362637978,5,FAMILY_EVENT
363323706,7,FAMILY_EVENT
362742116,3,SOCIAL_GATHERING
363653400,7,LUNCH
360473021,1,NOT_1
362309896,5,DINNER
359079524,12,DINNER
360790515,8,FAMILY_EVENT
360402719,5,FAMILY_EVENT
361866110,2,MALES_ONLY
363233238,5,LUNCH
362215310,6,FAMILY_EVENT
361683845,13,LUNCH
359116920,7,DINNER
360533998,2,DRINKING
360862920,8,FAMILY_EVENT
360542392,6,DINNER
360084221,6,DINNER
359029605,7,DRINKING
361276609,9,LUNCH
363046083,4,DINNER
361812626,11,DINNER
362281047,6,DINNER
361883017,9,DINNER
360500589,6,DINNER
361278114,6,FAMILY_EVENT
360829055,8,FAMILY_EVENT
363864230,25,FAMILY_EVENT
359989372,9,UNKNOWN
362365605,3,DRINKING
361378020,10,FAMILY_EVENT
363632419,8,LUNCH
361317622,4,DINNER
361751643,8,FAMILY_EVENT
361486560,9,DINNER
363711496,6,DINNER
359116809,5,FAMILY_EVENT
358904924,11,BREAKFAST
361383416,9,DINNER
359028955,6,DINNER
362414325,3,UNKNOWN
360547094,8,DINNER
362380509,7,UNKNOWN
360110682,13,DINNER
359471151,10,FAMILY_EVENT
363424394,2,DRINKING
359030249,8,DINNER
363644653,8,FAMILY_EVENT
361948555,5,UNKNOWN
359188984,9,DRINKING
362744397,3,SOCIAL_GATHERING
359638108,2,DRINKING
360350223,6,LUNCH
362362454,1,NOT_1
361483083,17,FAMILY_EVENT
359029607,6,FAMILY_EVENT
362375599,1,NOT_1
360140740,4,DINNER
361303866,7,FAMILY_EVENT
358943548,5,LUNCH
361499353,6,FAMILY_EVENT
362196197,6,FAMILY_EVENT
360384878,7,DINNER
359063049,9,FAMILY_EVENT
359060259,9,FAMILY_EVENT
359120939,6,DRINKING
360934174,10,DINNER
360025161,6,DINNER
361777132,8,FAMILY_EVENT
362880146,8,FAMILY_EVENT
358998414,5,DINNER
358969671,6,DINNER
363794201,5,DINNER
361165504,1,NOT_1
359123646,1,DRINKING
360860535,6,FAMILY_EVENT
361024753,3,DINNER
