order_id,guest_count,occasion
434717538,2,FANCY_DATE
446882777,43,DRINKING-PARTY
447074973,29,DINNER
448169655,1,NOT_1
435109182,16,DINNER
446750967,17,SOCIAL-GATHERING
435064462,17,DRINKING-PARTY
447372107,13,SOCIAL-GATHERING
447079453,20,DINNER
447007984,26,LUNCH
434718107,45,DINNER
434779035,1,NOT_1
446882268,5,DRINKING
448171095,1,NOT_1
447098179,24,DRINKING-PARTY
448721898,12,DRINKING-PARTY
447079451,9,DRINKING
448169211,4,SOCIAL_GATHERING
447165070,14,DINNER
435150684,14,DINNER
447170646,9,SOCIAL-GATHERING
435142865,11,DINNER
446840681,10,DRINKING
447597526,10,DINNER
448125548,18,DINNER
447079479,14,DINNER
448169446,8,DRINKING
447947762,11,LUNCH
447172471,6,DINNER
434777840,19,LUNCH
447164233,16,LUNCH
434780632,19,DINNER
447074686,9,DINNER
448174082,7,LUNCH
448169653,5,AFTER_WORK
435092413,12,DINNER
434694046,12,FAMILY_EVENT
434620563,13,FAMILY_EVENT
434774504,18,DINNER
446879272,4,FAMILY_EVENT
448171464,9,DRINKING
434780629,12,DINNER
446874781,7,DINNER
447372740,18,LUNCH
447277355,7,DRINKING
448179842,4,SOCIAL_GATHERING
448180163,3,DINNER
434739303,9,DINNER
447557046,13,DINNER
434619999,11,FAMILY_EVENT
434628885,13,LUNCH
448087017,1,NOT_1
435005279,12,LUNCH
435090785,9,DINNER
448173144,7,DINNER
434627570,8,UNKNOWN
435006655,8,LUNCH
448195986,5,FAMILY_EVENT
435067240,9,DINNER
447463930,4,AFTER_WORK
447093522,13,FAMILY_EVENT
434782391,8,DINNER
447590871,5,UNKNOWN
435005893,12,LUNCH
434673901,9,DINNER
434683704,5,FAMILY_EVENT
435011498,8,LUNCH
448180165,4,DINNER
448175278,1,NOT_1
448086140,14,FAMILY_EVENT
448724773,5,AFTER_WORK
447174975,7,FAMILY_EVENT
447019716,11,LUNCH
447899417,8,LUNCH
435110455,8,DINNER
434704217,12,FAMILY_EVENT
434771261,10,FAMILY_EVENT
447013801,15,LUNCH
447165244,19,LUNCH
448178148,7,DINNER
447165484,4,DRINKING
448715817,6,DRINKING
449162286,4,DINNER
448167546,4,SOCIAL_GATHERING
448715811,6,DRINKING
434671289,15,DRINKING-PARTY
447171023,2,DRINKING
434695904,7,FAMILY_EVENT
446810152,9,DINNER
447206723,1,NOT_1
447371167,13,LUNCH
435141394,3,DINNER
448723500,3,AFTER_WORK
447430968,1,NOT_1
435142991,22,DINNER
434610633,9,FAMILY_EVENT
448195641,1,NOT_1
447370537,15,SOCIAL-GATHERING
448731026,6,DRINKING
434694887,7,FAMILY_EVENT
448196191,6,DRINKING
448171466,3,AFTER_WORK
435141157,4,DINNER
448715832,4,SOCIAL_GATHERING
434734645,9,FAMILY_EVENT
448001522,8,FAMILY_EVENT
447091071,11,DINNER
447490133,7,DINNER
447647975,4,UNKNOWN
434778023,15,LUNCH
447595670,2,NOT_2
434715552,10,FAMILY_EVENT
435012499,7,LUNCH
447093388,1,NOT_1
447147009,2,DRINKING
446801514,9,DINNER
434772985,8,DINNER
434770968,8,DINNER
447463747,9,DINNER
448180381,9,DINNER
447526468,7,DINNER
448172965,6,FAMILY_EVENT
434681978,8,DINNER
434630745,10,UNKNOWN
448005552,4,FAMILY_EVENT
447080033,8,FAMILY_EVENT
447372884,9,LUNCH
435157525,32,UNKNOWN
447166867,1,NOT_1
435157908,8,DINNER
448085364,7,FAMILY_EVENT
446883746,1,NOT_1
435142976,11,LUNCH
435157460,2,DRINKING
448001521,6,FAMILY_EVENT
447171304,4,SOCIAL_GATHERING
447431162,3,AFTER_WORK
447608604,7,DRINKING
434787490,1,NOT_1
447459130,6,FAMILY_EVENT
447596401,5,SOCIAL_GATHERING
447890780,10,FAMILY_EVENT
447168202,5,LUNCH
434610315,9,FAMILY_EVENT
447431079,4,DRINKING
434739437,3,DINNER
446886511,3,SOCIAL_GATHERING
446889573,3,DINNER
447098890,7,DINNER
434787616,6,DRINKING
435090594,6,DINNER
448168027,2,DRINKING
434674035,8,FAMILY_EVENT
435109773,4,DINNER
434778000,6,FAMILY_EVENT
447558701,9,DINNER
447909070,7,LUNCH
435147189,6,FAMILY_EVENT
447491168,10,FAMILY_EVENT
434684899,10,DINNER
448126762,1,NOT_1
447372818,10,LUNCH
446750955,7,LUNCH
434788364,2,DRINKING
434694886,9,FAMILY_EVENT
447372858,7,LUNCH
448085661,4,DINNER
434770844,5,DINNER
447595250,5,SOCIAL_GATHERING
447370503,8,LUNCH
447076645,10,DINNER
447075894,9,DINNER
447455628,4,DINNER
447445294,10,FAMILY_EVENT
448004394,4,AFTER_WORK
435142191,1,NOT_1
447586437,8,LUNCH
434682526,7,FAMILY_EVENT
435092420,2,MALES_ONLY
435149866,5,AFTER_WORK
434787774,1,NOT_1
447171048,1,NOT_1
446841560,6,DRINKING
448120021,4,DRINKING
447463926,5,DINNER
448201042,1,NOT_1
447371851,11,LUNCH
434611042,7,FAMILY_EVENT
448084822,11,FAMILY_EVENT
434627597,7,FAMILY_EVENT
434694920,9,FAMILY_EVENT
447077516,3,AFTER_WORK
447985411,8,FAMILY_EVENT
448200539,6,DRINKING
435066935,10,DINNER
448177544,2,DRINKING
448171089,4,DINNER
446886517,5,SOCIAL_GATHERING
434673354,14,FAMILY_EVENT
448164901,1,NOT_1
447899431,9,LUNCH
434694051,7,FAMILY_EVENT
448178146,4,DINNER
434620857,10,LUNCH
434610082,24,FAMILY_EVENT
447595386,5,DINNER
447587030,3,DINNER
448047559,1,NOT_1
446857359,6,DINNER
434695925,6,DINNER
447902328,10,FAMILY_EVENT
434683719,3,DINNER
447529514,2,ROMANTIC_DATE
447587077,5,SOCIAL_GATHERING
447371008,7,LUNCH
447441556,8,FAMILY_EVENT
446750950,8,LUNCH
447525892,5,DINNER
448170607,3,SOCIAL_GATHERING
435048169,4,UNKNOWN
446742646,4,LUNCH
447066407,7,DINNER
435011421,6,LUNCH
446809964,6,DINNER
448721415,2,DRINKING
447586520,4,UNKNOWN
448085363,8,DINNER
